
Player		Team	born	Height	Position
Nathan Aké	AFC Bournemouth	AFC Bournemouth	18/02/1995	180 cm	DF
Asmir Begović	AFC Bournemouth	AFC Bournemouth	20/06/1987	199 cm	GK
Artur Boruc	AFC Bournemouth	AFC Bournemouth	20/02/1980	193 cm	GK
David Brooks	AFC Bournemouth	AFC Bournemouth	08/07/1997	173 cm	MF
Lewis Cook	AFC Bournemouth	AFC Bournemouth	03/02/1997	175 cm	MF
Steve Cook	AFC Bournemouth	AFC Bournemouth	19/04/1991	185 cm	DF
Charlie Daniels	AFC Bournemouth	AFC Bournemouth	07/09/1986	178 cm	DF
Jermain Defoe	AFC Bournemouth	AFC Bournemouth	07/10/1982	171 cm	FW
Diego Rico	AFC Bournemouth	AFC Bournemouth	23/02/1993	183 cm	DF
Mihai Dobre	AFC Bournemouth	AFC Bournemouth	30/08/1998	178 cm	MF
Simon Francis	AFC Bournemouth	AFC Bournemouth	16/02/1985	191 cm	DF
Ryan Fraser	AFC Bournemouth	AFC Bournemouth	01/09/1994	163 cm	MF
Dan Gosling	AFC Bournemouth	AFC Bournemouth	02/02/1990	183 cm	MF
Emerson Hyndman	AFC Bournemouth	AFC Bournemouth	07/04/1996	170 cm	MF
Jordon Ibe	AFC Bournemouth	AFC Bournemouth	08/12/1995	176 cm	FW
Joshua King	AFC Bournemouth	AFC Bournemouth	15/01/1992	181 cm	FW
Jefferson Lerma	AFC Bournemouth	AFC Bournemouth	25/10/1994	179 cm	MF
Tyrone Mings	AFC Bournemouth	AFC Bournemouth	13/03/1993	195 cm	DF
Lys Mousset	AFC Bournemouth	AFC Bournemouth	08/02/1996	184 cm	FW
Mikael Ndjoli	AFC Bournemouth	AFC Bournemouth	16/12/1998	183 cm	FW
Nnamdi Ofoborh	AFC Bournemouth	AFC Bournemouth	07/11/1999	183 cm	MF
Marc Pugh	AFC Bournemouth	AFC Bournemouth	02/04/1987	180 cm	MF
Aaron Ramsdale	AFC Bournemouth	AFC Bournemouth	14/05/1998	188 cm	GK
Jack Simpson	AFC Bournemouth	AFC Bournemouth	08/01/1997	178 cm	DF
Adam Smith	AFC Bournemouth	AFC Bournemouth	29/04/1991	174 cm	DF
Junior Stanislas	AFC Bournemouth	AFC Bournemouth	26/11/1989	183 cm	MF
Andrew Surman	AFC Bournemouth	AFC Bournemouth	20/08/1986	178 cm	MF
Mark Travers	AFC Bournemouth	AFC Bournemouth	18/05/1999	191 cm	GK
Callum Wilson	AFC Bournemouth	AFC Bournemouth	27/02/1992	180 cm	FW
Pierre-Emerick Aubameyang	Arsenal FC	Arsenal FC	18/06/1989	187 cm	FW
Petr Čech	Arsenal FC	Arsenal FC	20/05/1982	196 cm	GK
Mohamed El Neny	Arsenal FC	Arsenal FC	11/07/1992	180 cm	MF
Mattéo Guendouzi	Arsenal FC	Arsenal FC	14/04/1999	185 cm	MF
Héctor Bellerín	Arsenal FC	Arsenal FC	19/03/1995	178 cm	DF
Rob Holding	Arsenal FC	Arsenal FC	20/09/1995	189 cm	DF
Alex Iwobi	Arsenal FC	Arsenal FC	03/05/1996	183 cm	FW
Carl Jenkinson	Arsenal FC	Arsenal FC	08/02/1992	185 cm	DF
Sead Kolašinac	Arsenal FC	Arsenal FC	20/06/1993	183 cm	DF
Laurent Koscielny	Arsenal FC	Arsenal FC	10/09/1985	186 cm	DF
Alexandre Lacazette	Arsenal FC	Arsenal FC	28/05/1991	175 cm	FW
Bernd Leno	Arsenal FC	Arsenal FC	04/03/1992	190 cm	GK
Stephan Lichtsteiner	Arsenal FC	Arsenal FC	16/01/1984	182 cm	DF
Ainsley Maitland-Niles	Arsenal FC	Arsenal FC	29/08/1997	177 cm	DF
Emiliano Martínez	Arsenal FC	Arsenal FC	02/09/1992	195 cm	GK
Konstantinos Mavropanos	Arsenal FC	Arsenal FC	11/12/1997	194 cm	DF
Henrikh Mkhitaryan	Arsenal FC	Arsenal FC	21/01/1989	177 cm	MF
Shkodran Mustafi	Arsenal FC	Arsenal FC	17/04/1992	184 cm	DF
Nacho Monreal	Arsenal FC	Arsenal FC	26/02/1986	179 cm	DF
Edward Nketiah	Arsenal FC	Arsenal FC	30/05/1999	175 cm	FW
Mesut Özil	Arsenal FC	Arsenal FC	15/10/1988	180 cm	MF
Sokratis Papastathopoulos	Arsenal FC	Arsenal FC	09/06/1988	186 cm	DF
Aaron Ramsey	Arsenal FC	Arsenal FC	26/12/1990	182 cm	MF
Emile Smith-Rowe	Arsenal FC	Arsenal FC	28/07/2000	182 cm	MF
Lucas Torreira	Arsenal FC	Arsenal FC	11/02/1996	168 cm	MF
Danny Welbeck	Arsenal FC	Arsenal FC	26/11/1990	185 cm	FW
Granit Xhaka	Arsenal FC	Arsenal FC	27/09/1992	185 cm	MF
Soufyan Ahannach	Brighton & Hove Albion	Brighton & Hove Albion	09/09/1995	173 cm	MF
Florin Andone	Brighton & Hove Albion	Brighton & Hove Albion	11/04/1993	180 cm	FW
Leon Balogun	Brighton & Hove Albion	Brighton & Hove Albion	28/06/1988	190 cm	DF
Ben Barclay	Brighton & Hove Albion	Brighton & Hove Albion	07/10/1996	181 cm	DF
Bernardo	Brighton & Hove Albion	Brighton & Hove Albion	14/05/1995	186 cm	DF
Yves Bissouma	Brighton & Hove Albion	Brighton & Hove Albion	30/08/1996	182 cm	MF
Gaëtan Bong	Brighton & Hove Albion	Brighton & Hove Albion	25/04/1988	183 cm	DF
Bruno	Brighton & Hove Albion	Brighton & Hove Albion	01/10/1980	181 cm	DF
Dan Burn	Brighton & Hove Albion	Brighton & Hove Albion	09/05/1992	198 cm	DF
David Button	Brighton & Hove Albion	Brighton & Hove Albion	27/02/1989	191 cm	GK
Will Collar	Brighton & Hove Albion	Brighton & Hove Albion	03/02/1997	???	MF
Aaron Connolly	Brighton & Hove Albion	Brighton & Hove Albion	28/01/2000	???	FW
Shane Duffy	Brighton & Hove Albion	Brighton & Hove Albion	01/01/1992	193 cm	DF
Lewis Dunk	Brighton & Hove Albion	Brighton & Hove Albion	21/11/1991	192 cm	DF
Pascal Groß	Brighton & Hove Albion	Brighton & Hove Albion	15/06/1991	181 cm	MF
Viktor Gyökeres	Brighton & Hove Albion	Brighton & Hove Albion	04/07/1998	187 cm	FW
José Izquierdo	Brighton & Hove Albion	Brighton & Hove Albion	07/07/1992	171 cm	FW
Alireza Jahanbakhsh	Brighton & Hove Albion	Brighton & Hove Albion	08/10/1993	180 cm	FW
Biram Kayal	Brighton & Hove Albion	Brighton & Hove Albion	02/05/1988	178 cm	MF
Anthony Knockaert	Brighton & Hove Albion	Brighton & Hove Albion	20/11/1991	172 cm	MF
Jürgen Locadia	Brighton & Hove Albion	Brighton & Hove Albion	07/11/1993	185 cm	FW
Solomon March	Brighton & Hove Albion	Brighton & Hove Albion	26/07/1994	185 cm	MF
Martín Montoya	Brighton & Hove Albion	Brighton & Hove Albion	14/04/1991	175 cm	DF
Glenn Murray	Brighton & Hove Albion	Brighton & Hove Albion	25/09/1983	183 cm	FW
Oliver Norwood	Brighton & Hove Albion	Brighton & Hove Albion	12/04/1991	180 cm	MF
Davy Pröpper	Brighton & Hove Albion	Brighton & Hove Albion	02/09/1991	185 cm	MF
Mathew Ryan	Brighton & Hove Albion	Brighton & Hove Albion	08/04/1992	184 cm	GK
Ezequiel Schelotto	Brighton & Hove Albion	Brighton & Hove Albion	23/05/1989	187 cm	DF
Jason Steele	Brighton & Hove Albion	Brighton & Hove Albion	18/08/1990	188 cm	GK
Dale Stephens	Brighton & Hove Albion	Brighton & Hove Albion	12/12/1989	185 cm	MF
Markus Suttner	Brighton & Hove Albion	Brighton & Hove Albion	16/04/1987	179 cm	DF
Phil Bardsley	Burnley FC	Burnley FC	28/06/1985	180 cm	DF
Ashley Barnes	Burnley FC	Burnley FC	30/10/1989	186 cm	FW
Robbie Brady	Burnley FC	Burnley FC	14/01/1992	178 cm	MF
Jack Cork	Burnley FC	Burnley FC	25/06/1989	183 cm	MF
Steven Defour	Burnley FC	Burnley FC	15/04/1988	173 cm	MF
Ben Gibson	Burnley FC	Burnley FC	15/01/1993	185 cm	DF
Jóhann Guðmundsson	Burnley FC	Burnley FC	27/10/1990	186 cm	MF
Joe Hart	Burnley FC	Burnley FC	19/04/1987	196 cm	GK
Tom Heaton	Burnley FC	Burnley FC	15/04/1986	186 cm	GK
Jeff Hendrick	Burnley FC	Burnley FC	31/01/1992	185 cm	MF
Adam Legzdins	Burnley FC	Burnley FC	28/11/1986	183 cm	GK
Aaron Lennon	Burnley FC	Burnley FC	16/04/1987	165 cm	MF
Anders Lindegaard	Burnley FC	Burnley FC	13/04/1984	193 cm	GK
Kevin Long	Burnley FC	Burnley FC	18/08/1990	188 cm	DF
Matthew Lowton	Burnley FC	Burnley FC	09/06/1989	180 cm	DF
Dwight McNeil	Burnley FC	Burnley FC	22/11/1999	193 cm	FW
Ben Mee	Burnley FC	Burnley FC	21/09/1989	180 cm	DF
Nick Pope	Burnley FC	Burnley FC	19/04/1992	191 cm	GK
James Tarkowski	Burnley FC	Burnley FC	19/11/1992	185 cm	DF
Charlie Taylor	Burnley FC	Burnley FC	18/09/1993	175 cm	DF
Sam Vokes	Burnley FC	Burnley FC	21/10/1989	186 cm	FW
Matěj Vydra	Burnley FC	Burnley FC	01/05/1992	180 cm	FW
Jon Walters	Burnley FC	Burnley FC	20/09/1983	183 cm	FW
Stephen Ward	Burnley FC	Burnley FC	20/08/1985	184 cm	DF
Ashley Westwood	Burnley FC	Burnley FC	01/04/1990	175 cm	MF
Chris Wood	Burnley FC	Burnley FC	07/12/1991	191 cm	FW
Harry Arter	Cardiff City	Cardiff City	28/12/1989	178 cm	MF
Souleymane Bamba	Cardiff City	Cardiff City	13/01/1985	190 cm	DF
Joe Bennett	Cardiff City	Cardiff City	28/03/1990	177 cm	DF
Ciaron Brown	Cardiff City	Cardiff City	???	???	DF
Camarasa	Cardiff City	Cardiff City	28/05/1994	183 cm	MF
Matthew Connolly	Cardiff City	Cardiff City	24/09/1987	186 cm	DF
Cameron Coxe	Cardiff City	Cardiff City	18/12/1998	181 cm	DF
Greg Cunningham	Cardiff City	Cardiff City	31/01/1991	183 cm	DF
Loïc Damour	Cardiff City	Cardiff City	08/01/1991	180 cm	MF
Bruno Écuélé	Cardiff City	Cardiff City	16/07/1988	186 cm	DF
Neil Etheridge	Cardiff City	Cardiff City	07/02/1990	188 cm	GK
Frédéric Gounongbe	Cardiff City	Cardiff City	01/05/1988	191 cm	FW
Aron Gunnarsson	Cardiff City	Cardiff City	22/04/1989	177 cm	MF
Kadeem Harris	Cardiff City	Cardiff City	08/06/1993	175 cm	MF
Mark Harris	Cardiff City	Cardiff City	29/12/1998	???	MF
Rhys Healey	Cardiff City	Cardiff City	12/06/1994	173 cm	FW
Junior Hoilett	Cardiff City	Cardiff City	05/06/1990	173 cm	MF
Gary Madine	Cardiff City	Cardiff City	24/08/1990	175 cm	FW
Ibrahim Meité	Cardiff City	Cardiff City	29/07/1996	188 cm	FW
Nathaniel Mendez-Laing	Cardiff City	Cardiff City	15/04/1992	178 cm	MF
Sean Morrison	Cardiff City	Cardiff City	08/01/1991	194 cm	DF
Brian Murphy	Cardiff City	Cardiff City	07/05/1983	185 cm	GK
Josh Murphy	Cardiff City	Cardiff City	24/02/1995	173 cm	FW
Stuart O'Keefe	Cardiff City	Cardiff City	04/03/1991	173 cm	MF
Callum Paterson	Cardiff City	Cardiff City	13/10/1994	183 cm	MF
Lee Peltier	Cardiff City	Cardiff City	11/12/1986	178 cm	DF
Anthony Pilkington	Cardiff City	Cardiff City	06/06/1988	183 cm	FW
Joe Ralls	Cardiff City	Cardiff City	13/10/1993	183 cm	MF
Bobby Reid	Cardiff City	Cardiff City	02/02/1993	170 cm	FW
Jazz Richards	Cardiff City	Cardiff City	12/04/1991	185 cm	DF
Alex Smithies	Cardiff City	Cardiff City	05/03/1990	189 cm	GK
Lee Tomlin	Cardiff City	Cardiff City	12/01/1989	180 cm	FW
Danny Ward	Cardiff City	Cardiff City	11/12/1991	180 cm	FW
Kenneth Zohore	Cardiff City	Cardiff City	31/01/1994	190 cm	FW
Ethan Ampadu	Chelsea FC	Chelsea FC	14/09/2000	182 cm	DF
Azpilicueta	Chelsea FC	Chelsea FC	28/08/1989	178 cm	DF
Ross Barkley	Chelsea FC	Chelsea FC	05/12/1993	189 cm	MF
Kevin Long	Burnley FC	Burnley FC	18/08/1990	188 cm	DF
Matthew Lowton	Burnley FC	Burnley FC	09/06/1989	180 cm	DF
Dwight McNeil	Burnley FC	Burnley FC	22/11/1999	193 cm	FW
Ben Mee	Burnley FC	Burnley FC	21/09/1989	180 cm	DF
Nick Pope	Burnley FC	Burnley FC	19/04/1992	191 cm	GK
James Tarkowski	Burnley FC	Burnley FC	19/11/1992	185 cm	DF
Charlie Taylor	Burnley FC	Burnley FC	18/09/1993	175 cm	DF
Sam Vokes	Burnley FC	Burnley FC	21/10/1989	186 cm	FW
Matěj Vydra	Burnley FC	Burnley FC	01/05/1992	180 cm	FW
Jon Walters	Burnley FC	Burnley FC	20/09/1983	183 cm	FW
Stephen Ward	Burnley FC	Burnley FC	20/08/1985	184 cm	DF
Ashley Westwood	Burnley FC	Burnley FC	01/04/1990	175 cm	MF
Chris Wood	Burnley FC	Burnley FC	07/12/1991	191 cm	FW
Harry Arter	Cardiff City	Cardiff City	28/12/1989	178 cm	MF
Souleymane Bamba	Cardiff City	Cardiff City	13/01/1985	190 cm	DF
Joe Bennett	Cardiff City	Cardiff City	28/03/1990	177 cm	DF
Ciaron Brown	Cardiff City	Cardiff City	???	???	DF
Camarasa	Cardiff City	Cardiff City	28/05/1994	183 cm	MF
Matthew Connolly	Cardiff City	Cardiff City	24/09/1987	186 cm	DF
Cameron Coxe	Cardiff City	Cardiff City	18/12/1998	181 cm	DF
Greg Cunningham	Cardiff City	Cardiff City	31/01/1991	183 cm	DF
Loïc Damour	Cardiff City	Cardiff City	08/01/1991	180 cm	MF
Bruno Écuélé	Cardiff City	Cardiff City	16/07/1988	186 cm	DF
Neil Etheridge	Cardiff City	Cardiff City	07/02/1990	188 cm	GK
Frédéric Gounongbe	Cardiff City	Cardiff City	01/05/1988	191 cm	FW
Aron Gunnarsson	Cardiff City	Cardiff City	22/04/1989	177 cm	MF
Kadeem Harris	Cardiff City	Cardiff City	08/06/1993	175 cm	MF
Mark Harris	Cardiff City	Cardiff City	29/12/1998	???	MF
Rhys Healey	Cardiff City	Cardiff City	12/06/1994	173 cm	FW
Junior Hoilett	Cardiff City	Cardiff City	05/06/1990	173 cm	MF
Gary Madine	Cardiff City	Cardiff City	24/08/1990	175 cm	FW
Ibrahim Meité	Cardiff City	Cardiff City	29/07/1996	188 cm	FW
Nathaniel Mendez-Laing	Cardiff City	Cardiff City	15/04/1992	178 cm	MF
Sean Morrison	Cardiff City	Cardiff City	08/01/1991	194 cm	DF
Brian Murphy	Cardiff City	Cardiff City	07/05/1983	185 cm	GK
Josh Murphy	Cardiff City	Cardiff City	24/02/1995	173 cm	FW
Stuart O'Keefe	Cardiff City	Cardiff City	04/03/1991	173 cm	MF
Callum Paterson	Cardiff City	Cardiff City	13/10/1994	183 cm	MF
Lee Peltier	Cardiff City	Cardiff City	11/12/1986	178 cm	DF
Anthony Pilkington	Cardiff City	Cardiff City	06/06/1988	183 cm	FW
Joe Ralls	Cardiff City	Cardiff City	13/10/1993	183 cm	MF
Bobby Reid	Cardiff City	Cardiff City	02/02/1993	170 cm	FW
Jazz Richards	Cardiff City	Cardiff City	12/04/1991	185 cm	DF
Alex Smithies	Cardiff City	Cardiff City	05/03/1990	189 cm	GK
Lee Tomlin	Cardiff City	Cardiff City	12/01/1989	180 cm	FW
Danny Ward	Cardiff City	Cardiff City	11/12/1991	180 cm	FW
Kenneth Zohore	Cardiff City	Cardiff City	31/01/1994	190 cm	FW
Ethan Ampadu	Chelsea FC	Chelsea FC	14/09/2000	182 cm	DF
Azpilicueta	Chelsea FC	Chelsea FC	28/08/1989	178 cm	DF
Ross Barkley	Chelsea FC	Chelsea FC	05/12/1993	189 cm	MF
Joel Ward	Crystal Palace	Crystal Palace	29/10/1989	188 cm	DF
Connor Wickham	Crystal Palace	Crystal Palace	31/03/1993	193 cm	FW
Jonathan Williams	Crystal Palace	Crystal Palace	09/10/1993	168 cm	MF
Sam Woods	Crystal Palace	Crystal Palace	11/09/1998	???	DF
Wilfried Zaha	Crystal Palace	Crystal Palace	10/11/1992	180 cm	FW
André Gomes	Everton FC	Everton FC	30/07/1993	188 cm	MF
Leighton Baines	Everton FC	Everton FC	11/12/1984	170 cm	DF
Beni Baningime	Everton FC	Everton FC	09/09/1998	178 cm	MF
Bernard	Everton FC	Everton FC	08/09/1992	164 cm	MF
Tyias Browning	Everton FC	Everton FC	27/05/1994	181 cm	DF
Dominic Calvert-Lewin	Everton FC	Everton FC	16/03/1997	187 cm	FW
Séamus Coleman	Everton FC	Everton FC	11/08/1988	177 cm	DF
